merchant_id,risk_score,risk_level,failure_risk_score,dispute_risk_score,volatility_risk_score,churn_risk_score,underwriting_decision,monitoring_priority,primary_risk_flag
M0417,12.3,LOW,2.94,11.27,16.95,17.38,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0418,32.56,MEDIUM,19.35,19.08,36.42,38.49,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0419,10.79,LOW,2.46,6.2,30.24,20.56,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0420,34.78,MEDIUM,20.04,20.84,40.69,41.99,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0421,100.0,CRITICAL,87.18,92.49,58.6,66.68,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0422,38.14,MEDIUM,19.32,26.34,45.58,44.04,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0423,54.64,MEDIUM,41.67,33.41,43.51,34.19,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0424,12.17,LOW,4.62,10.45,16.43,16.54,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0425,100.0,CRITICAL,79.77,87.77,70.13,67.56,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0426,58.8,MEDIUM,39.36,35.46,49.44,57.42,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0427,42.31,MEDIUM,34.89,21.79,39.64,40.79,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0428,19.77,LOW,16.74,5.99,31.88,28.94,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0429,100.0,CRITICAL,70.5,100.0,71.71,66.6,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0430,95.23,HIGH,52.98,72.7,63.05,58.57,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0431,11.05,LOW,2.55,7.52,18.76,15.66,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0432,10.32,LOW,6.12,6.84,17.72,10.66,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0433,45.34,MEDIUM,29.67,25.61,53.58,50.16,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0434,88.15,HIGH,68.04,54.31,51.51,60.09,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0435,38.43,MEDIUM,29.88,19.04,39.18,41.38,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0436,100.0,CRITICAL,89.91,99.86,63.72,67.01,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0437,16.5,LOW,13.29,9.54,14.74,11.63,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0438,87.7,HIGH,44.97,67.83,68.05,67.73,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0439,52.51,MEDIUM,32.82,30.7,57.72,54.78,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0440,14.17,LOW,6.39,12.93,12.23,7.48,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0441,24.5,LOW,16.17,10.84,31.88,40.14,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0442,16.97,LOW,9.3,7.05,35.23,29.21,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0443,96.19,HIGH,70.44,64.55,50.66,51.02,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0444,17.24,LOW,6.57,9.53,32.51,31.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0445,86.18,HIGH,63.24,56.56,53.51,54.74,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0446,13.47,LOW,11.13,7.98,16.61,12.83,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0447,18.48,LOW,16.98,4.68,35.61,33.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0448,44.25,MEDIUM,33.03,19.78,47.42,51.2,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0449,20.46,LOW,10.98,8.58,36.09,40.42,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0450,13.41,LOW,8.97,8.19,16.43,16.23,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0451,5.04,LOW,1.02,2.29,14.87,14.94,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0452,11.45,LOW,13.38,2.83,15.55,13.59,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0453,11.4,LOW,11.52,2.7,18.9,19.9,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0454,20.74,LOW,17.58,12.51,18.73,17.33,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0455,15.28,LOW,12.72,2.88,30.19,26.26,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0456,85.64,HIGH,57.93,61.23,53.69,52.62,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0457,17.33,LOW,8.52,9.29,33.09,30.81,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0458,98.54,HIGH,67.83,69.06,56.48,58.08,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0459,15.83,LOW,6.93,7.77,27.76,28.28,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0460,16.62,LOW,12.96,9.53,21.02,16.28,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0461,100.0,CRITICAL,89.85,100.0,64.4,70.37,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0462,100.0,CRITICAL,84.93,100.0,74.15,69.39,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0463,19.21,LOW,9.99,7.83,37.32,36.86,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0464,44.52,MEDIUM,37.05,25.16,38.88,30.85,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0465,48.27,MEDIUM,36.27,29.27,35.95,36.94,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0466,100.0,CRITICAL,69.39,97.23,71.36,66.96,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0467,44.8,MEDIUM,27.24,29.41,43.49,33.64,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0468,86.71,HIGH,43.47,71.0,49.77,58.01,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0469,81.77,HIGH,50.67,58.58,58.86,57.2,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0470,15.05,LOW,4.56,5.31,33.07,38.53,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0471,18.91,LOW,14.01,7.47,32.56,25.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0472,16.83,LOW,16.35,4.73,28.13,23.81,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0473,47.35,MEDIUM,35.16,30.23,35.01,32.65,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0474,13.3,LOW,11.52,8.18,13.15,7.96,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0475,16.98,LOW,11.79,8.85,25.16,20.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0476,100.0,CRITICAL,84.96,100.0,67.67,68.79,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0477,42.28,MEDIUM,41.07,17.82,38.64,39.71,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0478,14.31,LOW,7.89,7.7,24.93,24.13,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0479,17.53,LOW,11.85,13.3,18.5,15.85,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0480,13.76,LOW,9.72,6.27,25.93,24.96,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0481,38.02,MEDIUM,21.75,18.69,56.28,52.16,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0482,99.23,HIGH,59.85,73.97,56.98,59.09,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0483,12.72,LOW,6.6,6.92,20.39,21.71,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0484,52.4,MEDIUM,41.1,25.3,58.49,56.19,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0485,22.7,LOW,17.04,10.21,32.99,23.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0486,24.8,LOW,17.97,12.07,31.34,31.3,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0487,12.41,LOW,3.24,6.12,34.87,30.18,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0488,49.3,MEDIUM,37.71,29.67,38.75,39.31,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0489,51.27,MEDIUM,32.67,29.69,52.27,54.35,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0490,16.71,LOW,15.09,10.48,18.73,13.83,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0491,11.83,LOW,7.53,7.25,22.88,14.52,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0492,13.28,LOW,9.15,8.91,16.47,11.78,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0493,17.15,LOW,9.96,12.21,22.97,11.41,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0494,76.97,HIGH,48.03,51.54,61.34,59.8,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0495,43.28,MEDIUM,25.38,30.39,39.57,36.12,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0496,21.73,LOW,15.15,11.37,30.62,30.5,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0497,57.06,MEDIUM,41.73,34.44,42.58,45.72,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0498,91.89,HIGH,47.73,71.25,58.93,64.46,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0499,10.67,LOW,3.0,6.66,27.43,25.37,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0500,10.85,LOW,2.94,3.96,31.53,24.57,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
